  [claude-haiku-4-5-20251001] Progress: 30/8190 (0.4%) | ETA: 17.5m | Rate: 7.8 calls/s
  [claude-haiku-4-5-20251001] Progress: 7110/8190 (86.8%) | ETA: 2.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7140/8190 (87.2%) | ETA: 2.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7170/8190 (87.5%) | ETA: 2.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7200/8190 (87.9%) | ETA: 2.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7230/8190 (88.3%) | ETA: 2.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7260/8190 (88.6%) | ETA: 2.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7290/8190 (89.0%) | ETA: 2.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7320/8190 (89.4%) | ETA: 2.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7350/8190 (89.7%) | ETA: 2.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7380/8190 (90.1%) | ETA: 2.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7410/8190 (90.5%) | ETA: 2.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7440/8190 (90.8%) | ETA: 2.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7470/8190 (91.2%) | ETA: 1.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7500/8190 (91.6%) | ETA: 1.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7530/8190 (91.9%) | ETA: 1.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7560/8190 (92.3%) | ETA: 1.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7590/8190 (92.7%) | ETA: 1.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7620/8190 (93.0%) | ETA: 1.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7650/8190 (93.4%) | ETA: 1.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7680/8190 (93.8%) | ETA: 1.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7710/8190 (94.1%) | ETA: 1.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7740/8190 (94.5%) | ETA: 1.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7770/8190 (94.9%) | ETA: 1.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7800/8190 (95.2%) | ETA: 1.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7830/8190 (95.6%) | ETA: 1.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7860/8190 (96.0%) | ETA: 0.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7890/8190 (96.3%) | ETA: 0.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7920/8190 (96.7%) | ETA: 0.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7950/8190 (97.1%) | ETA: 0.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7980/8190 (97.4%) | ETA: 0.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8010/8190 (97.8%) | ETA: 0.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8040/8190 (98.2%) | ETA: 0.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8070/8190 (98.5%) | ETA: 0.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8100/8190 (98.9%) | ETA: 0.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8130/8190 (99.3%) | ETA: 0.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8160/8190 (99.6%) | ETA: 0.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 8190/8190 (100.0%) | ETA: 0.0m | Rate: 6.3 calls/s
